State,StateAbbr,Name,Party,Inauguration,Title,office,officialTwitter,campaignTwitter,othertwitter
Texas,TX,Ken Paxton,Republican,2015-01-05,Attorney General,StateAG,TXAG,KenPaxtonTX,NA
Texas,TX,Glenn Hegar,Republican,2015-01-05,Comptroller of Public Accounts,Treasurer,txcomptroller,Glenn_Hegar,NA
Utah,UT,Spencer Cox,Republican,2021-01-04,Governor,Governor,GovCox,coxforgovernor,SpencerJCox
Utah,UT,Deidre Henderson,Republican,2021-01-04,Lt. Governor,LtGov,LGHendersonUtah,DeidreHenderson,NA
Utah,UT,Sean Reyes,Republican,2013-12-30,Attorney General,StateAG,UtahAG,SeanReyesUT,NA
Utah,UT,Marlo Oaks,Republican,2021-06-29,Treasurer,Treasurer,UtahTreasurer,NA,NA
Vermont,VT,Phil Scott,Republican,2017-01-05,Governor,Governor,GovPhilScott,PhilScott4VT,NA
Vermont,VT,Molly Gray,Democratic,2021-01-07,Lt. Governor,LtGov,LtGovGray,mollyforvermont,NA
Vermont,VT,James C. Condos,Democratic,2011-01-06,Secretary of State,SecState,VermontSOS,NA,NA
Vermont,VT,T. J. Donovan,Democratic,2017-01-05,Attorney General,StateAG,VTAttornyGen,TJforVermont,NA
Vermont,VT,Beth Pearce,Democratic,2011-01-06,Treasurer,Treasurer,TreasurerPearce,PearceForTreasu,NA
Virginia,VA,Glenn Youngkin,Republican,2022-01-15,Governor,Governor,GovernorVA,GlennYoungkin,NA
Virginia,VA,Winsome Sears,Republican,2022-01-15,Lt. Governor,LtGov,NA,WinsomeSears,NA
Virginia,VA,Kay Coles James,Republican,2022-01-15,Secretary of the Commonwealth,SecState,virginia_soc,KayColesJames,NA
Virginia,VA,Jason Miyares,Republican,2022-01-15,Attorney General,StateAG,NA,JasonMiyaresVA,NA
Virginia,VA,Manju Ganeriwala,Independent,2009-01-01,Treasurer,Treasurer,NA,NA,NA
Washington,WA,Jay Inslee,Democratic,2013-01-16,Governor,Governor,GovInslee,JayInslee,NA
Washington,WA,Denny Heck,Democratic,2021-01-13,Lt. Governor,LtGov,LtGovDennyHeck,DennyHeck,NA
Washington,WA,Steve Hobbs,Democratic,2021-11-22,Secretary of State,SecState,secstatewa,electhobbs,NA
Washington,WA,Bob Ferguson,Democratic,2013-01-16,Attorney General,StateAG,AGOWA,BobFergusonAG,NA
Washington,WA,Mike Pellicciotti,Democratic,2021-01-13,Treasurer,Treasurer,WaTreasurer,NA,NA
West Virginia,WV,Jim Justice,Republican,2017-01-16,Governor,Governor,WVGovernor,JimJusticeWV,NA
West Virginia,WV,Craig Blair,Republican,2021-01-13,Lt. Governor,LtGov,NA,ElectCraigBlair,NA
West Virginia,WV,Mac Warner,Republican,2017-01-16,Secretary of State,SecState,wvsosoffice,macwarnerforWV,NA
West Virginia,WV,Patrick Morrisey,Republican,2013-01-14,Attorney General,StateAG,WestVirginiaAG,MorriseyWV,NA
West Virginia,WV,Riley Moore,Republican,2021-01-18,Treasurer,Treasurer,NA,RileyMooreWV,NA
Wisconsin,WI,Tony Evers,Democratic,2019-01-07,Governor,Governor,GovEvers,Tony4WI,NA
Wisconsin,WI,Mandela Barnes,Democratic,2019-01-07,Lt. Governor,LtGov,LGMandelaBarnes,TheOtherMandela,NA
Wisconsin,WI,Doug La Follette,Democratic,1983-01-03,Secretary of State,SecState,NA,DougLaFollette,NA
Wisconsin,WI,Josh Kaul,Democratic,2019-01-07,Attorney General,StateAG,WisDOJ,JoshKaulWI,NA
Wisconsin,WI,Sarah Godlewski,Democratic,2019-01-07,Treasurer,Treasurer,WITreasurer,SarahForWI,NA
Wyoming,WY,Mark Gordon,Republican,2019-01-07,Governor,Governor,GovernorGordon,Mark_Gordon_WY,NA
Wyoming,WY,Ed Buchanan,Republican,2018-03-01,Secretary of State,SecState,WyomingSOS,EdBuchananWyo,NA
